data,respostas,media_conversas_por_dia,local,feedback,palavras_mais_usadas,demanda_diaria,demanda_semanal,avaliacao_conversa,numero_total_conversas,media_mensagens_por_conversa,tempo_estimado_conversa,tempo_medio_chat,total_interacoes,acuracia_respostas
2024-10-01,165,22,São Paulo,positivo,"ótimo,ajuda",11,75,5,240,19,5.3,3.4,350,91%
2024-10-02,180,26,Rio de Janeiro,negativo,"demora,frustrante",13,82,3,210,20,6.1,3.5,370,85%
2024-10-03,155,19,Minas Gerais,positivo,"prático,rápido",8,68,4,225,17,5.6,3.2,320,89%
2024-10-04,170,23,Bahia,neutro,"adequado,normal",10,79,3,205,18,5.5,3.3,330,87%
2024-10-05,145,18,Pernambuco,positivo,"excelente,útil",9,64,5,215,16,4.8,3.1,290,90%
2024-10-06,195,27,Ceará,negativo,"dificuldade,resolução",14,88,2,230,21,6.7,4.2,380,83%
2024-10-07,175,24,Paraná,positivo,"rápido,eficaz",12,83,5,250,19,5.8,3.6,360,92%
2024-10-08,160,20,Rio Grande do Norte,neutro,"bom,satisfatório",11,71,3,200,17,5.4,3.5,310,89%
2024-10-09,185,25,Rio Grande do Sul,positivo,"ótimo,útil",13,78,5,240,20,6.0,3.7,370,93%
2024-10-10,150,20,Santa Catarina,negativo,"lento,confuso",10,66,2,220,16,5.1,3.0,300,86%
2024-10-11,205,28,Paraíba,positivo,"incrível,rápido",15,92,5,260,21,2.3,4.3,410,95%
2024-10-12,175,23,Alagoas,neutro,"normal,adequado",10,70,3,210,18,5.5,3.4,340,88%
2024-10-13,190,24,Mato Grosso do Sul,positivo,"excelente,ajuda",12,85,5,245,19,6.1,3.5,380,92%
2024-10-14,165,21,Sergipe,negativo,"frustrante,demora",9,72,3,225,17,5.9,3.6,330,84%
2024-10-15,180,25,Espírito Santo,positivo,"maravilhoso,eficaz",11,80,5,250,20,6.2,3.8,390,94%
2024-10-16,160,22,Amazonas,neutro,"adequado,bom",10,74,4,215,18,5.4,3.5,310,89%
2024-10-17,175,23,Minas Gerais,positivo,"rápido,eficaz",12,77,5,230,19,5.7,3.6,340,90%
2024-10-18,140,19,Rio de Janeiro,negativo,"demora,insatisfatório",11,65,2,200,16,5.0,3.2,300,82%
2024-10-19,165,24,Bahia,positivo,"prático,ajuda",10,78,5,220,17,5.6,3.4,330,88%
2024-10-20,190,26,Pernambuco,positivo,"excelente,rápido",12,85,4,250,20,6.5,3.7,370,93%
2024-10-21,170,25,Alagoas,positivo,"rápido,eficaz",11,78,5,210,18,5.6,3.5,310,88%
2024-10-22,200,27,Paraíba,negativo,"demora,resolução",14,89,2,240,22,1.9,4.0,390,83%
2024-10-23,150,20,Ceará,positivo,"ótimo,prático",10,66,5,230,19,5.4,3.6,320,90%
2024-10-24,175,24,Paraná,neutro,"adequado,normal",12,80,3,205,18,5.5,3.4,330,88%
2024-10-25,160,22,Rio Grande do Norte,positivo,"excelente,rápido",11,75,5,245,19,6.0,3.7,370,92%
2024-10-26,145,18,Santa Catarina,negativo,"confuso,lento",9,64,2,220,16,5.1,3.0,300,86%
2024-10-27,185,25,Mato Grosso do Sul,positivo,"ótimo,ajuda",12,85,5,260,20,6.2,3.8,390,94%
2024-10-28,175,23,Rio Grande do Sul,neutro,"normal,bom",10,72,3,210,18,5.4,3.5,310,89%
2024-10-29,195,28,Sergipe,positivo,"rápido,eficaz",12,84,5,240,21,6.8,4.1,380,90%
2024-10-30,160,20,Espírito Santo,positivo,"maravilhoso,útil",11,80,5,250,20,6.3,3.9,390,92%
2024-10-31,185,25,Pernambuco,negativo,"demora,frustrante",14,89,3,220,20,6.1,3.8,360,85%
2024-10-01,155,19,Rio de Janeiro,positivo,"prático,rápido",8,68,4,225,17,5.6,3.2,320,89%
2024-10-02,180,26,Minas Gerais,negativo,"demora,frustrante",13,82,3,210,20,6.1,3.5,370,85%
2024-10-03,165,22,São Paulo,positivo,"ótimo,ajuda",11,75,5,240,19,5.3,3.4,350,91%
2024-10-04,170,23,Bahia,neutro,"adequado,normal",10,79,3,205,18,5.5,3.3,330,87%
2024-10-05,145,18,Pernambuco,positivo,"excelente,útil",9,64,5,215,16,4.8,3.1,290,90%
2024-10-06,195,27,Ceará,negativo,"dificuldade,resolução",14,88,2,230,21,6.7,4.2,380,83%
2024-10-07,175,24,Paraná,positivo,"rápido,eficaz",12,83,5,250,19,5.8,3.6,360,92%
2024-10-08,160,20,Rio Grande do Norte,neutro,"bom,satisfatório",11,71,3,200,17,5.4,3.5,310,89%
2024-10-09,185,25,Rio Grande do Sul,positivo,"ótimo,útil",13,78,5,240,20,6.0,3.7,370,93%
2024-10-10,150,20,Santa Catarina,negativo,"lento,confuso",10,66,2,220,16,5.1,3.0,300,86%
2024-10-11,205,28,Paraíba,positivo,"incrível,rápido",15,92,5,260,21,1.3,4.3,410,95%
2024-10-12,175,23,Alagoas,neutro,"normal,adequado",10,70,3,210,18,5.5,3.4,340,88%
2024-10-13,190,24,Mato Grosso do Sul,positivo,"excelente,ajuda",12,85,5,245,19,6.1,3.5,380,92%
2024-10-14,165,21,Sergipe,negativo,"frustrante,demora",9,72,3,225,17,5.9,3.6,330,84%
2024-10-15,180,25,Espírito Santo,positivo,"maravilhoso,eficaz",11,80,5,250,20,6.2,3.8,390,94%
2024-10-16,160,22,Amazonas,neutro,"adequado,bom",10,74,4,215,18,5.4,3.5,310,89%
2024-10-17,175,23,Minas Gerais,positivo,"rápido,eficaz",12,77,5,230,19,5.7,3.6,340,90%
2024-10-18,140,19,Rio de Janeiro,negativo,"demora,insatisfatório",11,65,2,200,16,5.0,3.2,300,82%
2024-10-19,165,24,Bahia,positivo,"prático,ajuda",10,78,5,220,17,5.6,3.4,330,88%
2024-10-20,190,26,Pernambuco,positivo,"excelente,rápido",12,85,4,250,20,6.5,3.7,370,93%
2024-10-21,170,25,Alagoas,positivo,"rápido,eficaz",11,78,5,210,18,5.6,3.5,310,88%
2024-10-22,200,27,Paraíba,negativo,"demora,resolução",14,89,2,240,22,1.9,4.0,390,83%
2024-10-23,150,20,Ceará,positivo,"ótimo,prático",10,66,5,230,19,5.4,3.6,320,90%
2024-10-24,175,24,Paraná,neutro,"adequado,normal",12,80,3,205,18,5.5,3.4,330,88%
2024-10-25,160,22,Rio Grande do Norte,positivo,"excelente,rápido",11,75,5,245,19,6.0,3.7,370,92%
2024-10-26,145,18,Santa Catarina,negativo,"confuso,lento",9,64,2,220,16,5.1,3.0,300,86%
2024-10-27,185,25,Mato Grosso do Sul,positivo,"ótimo,ajuda",12,85,5,260,20,6.2,3.8,390,94%
2024-10-28,175,23,Rio Grande do Sul,neutro,"normal,bom",10,72,3,210,18,5.4,3.5,310,89%
2024-10-29,195,28,Sergipe,positivo,"rápido,eficaz",12,84,5,240,21,6.8,4.1,380,90%
2024-10-30,160,20,Espírito Santo,positivo,"maravilhoso,útil",11,80,5,250,20,6.3,3.9,390,92%
2024-10-31,185,25,Pernambuco,negativo,"demora,frustrante",14,89,3,220,20,6.1,3.8,360,85%
2024-10-15,150,20,Rio de Janeiro,positivo,"prático,rápido",8,68,4,225,17,5.6,3.2,320,89%
2024-10-16,170,26,Minas Gerais,negativo,"demora,frustrante",13,82,3,210,20,6.1,3.5,370,85%
2024-10-17,165,22,São Paulo,positivo,"ótimo,ajuda",11,75,5,240,19,5.3,3.4,350,91%
2024-10-18,175,23,Bahia,neutro,"adequado,normal",10,79,3,205,18,5.5,3.3,330,87%
2024-10-19,145,18,Pernambuco,positivo,"excelente,útil",9,64,5,215,16,4.8,3.1,290,90%
2024-10-20,195,27,Ceará,negativo,"dificuldade,resolução",14,88,2,230,21,6.7,4.2,380,83%
2024-10-21,175,24,Paraná,positivo,"rápido,eficaz",12,83,5,250,19,5.8,3.6,360,92%
2024-10-22,160,20,Rio Grande do Norte,neutro,"bom,satisfatório",11,71,3,200,17,5.4,3.5,310,89%
2024-10-23,185,25,Rio Grande do Sul,positivo,"ótimo,útil",13,78,5,240,20,6.0,3.7,370,93%
2024-10-24,150,20,Santa Catarina,negativo,"lento,confuso",10,66,2,220,16,5.1,3.0,300,86%
2024-10-25,205,28,Paraíba,positivo,"incrível,rápido",15,92,5,260,21,7.3,4.3,410,95%
2024-10-26,175,23,Alagoas,neutro,"normal,adequado",10,70,3,210,18,5.5,3.4,340,88%
2024-10-27,190,24,Mato Grosso do Sul,positivo,"excelente,ajuda",12,85,5,245,19,6.1,3.5,380,92%
2024-10-28,165,21,Sergipe,negativo,"frustrante,demora",9,72,3,225,17,5.9,3.6,330,84%
2024-10-29,180,25,Espírito Santo,positivo,"maravilhoso,eficaz",11,80,5,250,20,6.2,3.8,390,94%
2024-10-30,160,22,Amazonas,neutro,"adequado,bom",10,74,4,215,18,5.4,3.5,310,89%
2024-10-31,175,23,Minas Gerais,positivo,"rápido,eficaz",12,77,5,230,19,5.7,3.6,340,90%
